customer_id,customer_size,annual_revenue,industry,c_level_engagement,open_deals,customer_sign_up_date,amount_ARR_cloud,amount_ARR_on_prem,feature_1_usage,feature_2_usage,feature_3_usage,next_renewal_date,last_qbr_date,amount_ARR_total,customer_age,days_between_renewal_and_qbr,churned
23,1383,1050655.15,Energy,medium,0,2010-01-27,123667.23,11803.57,high,high,low,2013-01-27,2012-02-17,135470.8,192,345,0
24,802,1206037.49,Manufacturing,medium,1,2020-03-27,193693.17,10778.3,high,medium,high,2023-03-27,2020-11-18,204471.47,69,859,0
25,1570,1372603.56,Education,medium,0,2022-09-30,55412.69,7723.93,high,high,low,2025-09-30,2024-09-24,63136.62,38,371,0
26,1361,837260.66,Retail,low,0,2012-02-07,271543.51,8239.03,high,low,low,2015-02-07,2014-11-06,279782.54000000004,168,93,1
27,1341,1113986.91,Retail,medium,0,2021-04-12,61146.18,8121.1,high,low,high,2024-04-12,2023-06-26,69267.28,56,291,1
28,1836,1149510.84,Manufacturing,medium,1,2015-03-06,109720.29,8312.86,medium,high,high,2018-03-06,2017-12-14,118033.15,130,82,1
29,1611,845869.29,Retail,medium,0,2017-12-18,346083.75,4796.61,high,high,high,2020-12-18,2020-07-30,350880.36,96,141,0
30,1630,1000759.4,Manufacturing,low,0,2021-10-05,165302.43,9087.22,high,high,high,2024-10-05,2022-07-11,174389.65,50,817,0
31,1622,882837.91,Healthcare,high,0,2020-12-21,159459.29,7825.62,high,medium,medium,2023-12-21,2021-05-24,167284.91,60,941,1
32,1567,1214624.89,Energy,medium,0,2015-10-05,344830.58,9465.44,medium,high,high,2018-10-05,2016-09-06,354296.02,123,759,0
33,1286,459856.06,Food and Beverage,low,0,2017-02-22,92167.03,5128.94,high,high,medium,2020-02-22,2018-05-17,97295.97,106,646,1
34,1761,863940.42,Healthcare,medium,0,2022-09-26,80298.58,12254.68,high,high,high,2025-09-26,2025-09-16,92553.26000000001,38,10,0
35,1319,1020882.76,Energy,medium,0,2012-04-24,338593.48,10629.76,high,high,high,2015-04-24,2013-01-11,349223.24,165,833,0
36,1722,855545.42,Retail,medium,0,2019-06-06,231883.03,8393.6,high,high,medium,2022-06-06,2021-01-12,240276.63,79,510,0
37,1489,1208809.46,Retail,medium,0,2022-07-22,293394.39,8698.46,high,high,high,2025-07-22,2022-10-04,302092.85000000003,40,1022,0
38,1465,834372.63,Healthcare,low,1,2013-06-14,196944.97,8484.5,low,high,high,2016-06-14,2015-09-29,205429.47,151,259,1
39,1470,976663.26,Retail,medium,0,2016-08-18,209777.85,6934.04,high,high,high,2019-08-18,2016-11-23,216711.89,113,998,0
40,1513,1372099.54,Finance,medium,1,2020-10-23,70026.91,7682.66,medium,high,low,2023-10-23,2023-04-05,77709.57,62,201,0
41,1491,1344658.65,Energy,medium,0,2010-08-18,320921.5,9661.61,high,high,high,2013-08-18,2010-09-13,330583.11,186,1070,0
42,1425,952534.15,Energy,low,0,2010-03-25,144239.59,9013.24,high,medium,high,2013-03-25,2012-01-05,153252.83,191,445,1
43,1132,917936.95,Energy,medium,0,2013-06-18,214281.01,6221.93,high,high,low,2016-06-18,2015-06-19,220502.94,151,365,0
44,1572,1378610.06,Education,high,1,2010-04-07,465878.35,11495.56,high,high,medium,2013-04-07,2011-02-11,477373.91,190,786,0
45,1538,1063214.76,Technology,medium,0,2012-09-14,137612.41,5162.84,high,medium,high,2015-09-14,2013-06-05,142775.25,160,831,1
46,1729,1159363.47,Retail,low,1,2013-12-06,97424.1,8484.13,medium,high,high,2016-12-06,2015-12-07,105908.23000000001,145,365,1
47,1420,996395.08,Finance,medium,0,2017-09-05,354252.02,5689.72,high,high,high,2020-09-05,2018-05-03,359941.74,100,856,0
48,1209,1468403.44,Finance,medium,1,2012-05-07,281694.21,7149.43,low,high,low,2015-05-07,2015-01-08,288843.64,165,119,0
49,1378,992322.45,Energy,low,1,2017-05-31,167901.36,16703.9,high,high,high,2020-05-31,2018-09-26,184605.25999999998,103,613,0
50,1754,988328.16,Retail,medium,0,2021-02-12,197267.73,7828.74,medium,high,high,2024-02-12,2021-03-03,205096.47,58,1076,0
51,1596,1480907.79,Food and Beverage,medium,0,2019-05-14,105450.23,4464.35,high,high,high,2022-05-14,2021-01-25,109914.58,79,474,1
52,1378,1062111.26,Food and Beverage,low,1,2011-02-02,104919.34,8353.62,high,high,high,2014-02-02,2012-12-19,113272.95999999999,180,410,0
53,1301,951819.05,Finance,medium,0,2010-12-20,331283.65,11457.7,high,low,high,2013-12-20,2011-04-19,342741.35000000003,182,976,0
54,1722,1383941.77,Technology,medium,0,2010-08-02,192665.25,9486.03,high,high,low,2013-08-02,2012-05-18,202151.28,186,441,0
55,1356,913432.93,Technology,medium,0,2015-04-30,267515.91,6221.47,high,medium,medium,2018-04-30,2016-08-12,273737.37999999995,128,626,0
56,1572,880683.37,Manufacturing,medium,0,2018-06-20,266482.07,12911.12,high,high,high,2021-06-20,2018-11-16,279393.19,90,947,0
57,1749,1265529.53,Government,medium,0,2017-02-27,124536.67,11493.67,medium,low,high,2020-02-27,2020-01-29,136030.34,106,29,0
58,1463,1337546.38,Finance,medium,1,2018-07-18,91826.42,8440.54,high,low,high,2021-07-18,2018-12-20,100266.95999999999,89,941,1
59,1102,1028770.84,Food and Beverage,medium,0,2021-09-16,214342.78,5421.82,high,high,low,2024-09-16,2024-02-27,219764.6,51,202,0
60,1238,1278699.48,Healthcare,medium,0,2017-06-13,122732.49,10072.2,high,high,low,2020-06-13,2019-10-15,132804.69,103,242,1
61,1334,762003.32,Retail,low,0,2020-01-21,285238.41,8725.75,medium,high,low,2023-01-21,2021-08-09,293964.16,71,530,1
62,1311,1023374.86,Energy,medium,0,2020-05-11,241189.11,6735.27,high,high,high,2023-05-11,2021-10-13,247924.37999999998,67,575,0
63,1006,1021435.56,Energy,medium,1,2022-03-14,84388.29,8309.89,high,high,low,2025-03-14,2022-11-29,92698.18,45,836,0
64,1815,838940.1,Food and Beverage,medium,0,2010-09-30,281291.55,13142.46,low,high,high,2013-09-30,2011-02-21,294434.01,184,952,0
65,1879,950436.44,Energy,medium,0,2022-09-27,494639.63,4516.86,medium,high,low,2025-09-27,2024-12-24,499156.49,38,277,0
66,2078,746416.11,Retail,medium,0,2017-12-21,102555.29,13400.04,high,medium,low,2020-12-21,2020-11-04,115955.32999999999,96,47,0
67,1464,709957.53,Healthcare,medium,1,2019-08-27,99772.46,6022.41,medium,high,low,2022-08-27,2022-08-19,105794.87000000001,76,8,1
68,1604,811485.81,Manufacturing,medium,0,2020-07-13,204934.77,10903.36,medium,high,high,2023-07-13,2022-04-11,215838.13,65,458,1
69,2088,1503779.96,Technology,low,0,2020-04-16,129438.24,11153.77,high,high,low,2023-04-16,2022-10-24,140592.01,68,174,1
70,1248,1634050.42,Energy,medium,0,2022-03-16,76317.06,8386.62,medium,high,medium,2025-03-16,2025-03-07,84703.68,45,9,1
71,1557,838216.28,Healthcare,low,0,2014-12-25,111356.28,7778.12,high,low,high,2017-12-25,2015-08-17,119134.4,133,861,1
72,1595,1175445.52,Manufacturing,medium,0,2015-11-25,204655.99,6233.33,low,high,high,2018-11-25,2017-09-19,210889.31999999998,122,432,1
73,1289,811122.92,Food and Beverage,medium,0,2010-06-23,208511.53,10189.1,medium,high,high,2013-06-23,2010-08-06,218700.63,188,1052,0
74,1588,978416.56,Manufacturing,medium,0,2021-09-03,418946.07,4914.25,low,high,low,2024-09-03,2024-01-30,423860.32,51,217,1
75,1829,985323.07,Manufacturing,medium,1,2010-07-28,204991.94,6900.6,high,high,low,2013-07-28,2011-01-19,211892.54,186,921,0
76,1560,1217267.95,Healthcare,medium,0,2012-09-13,170994.48,10965.01,high,high,low,2015-09-13,2013-05-03,181959.49000000002,160,863,0
77,1641,1114009.12,Finance,medium,0,2013-05-30,432697.28,8227.55,high,high,high,2016-05-30,2016-04-01,440924.83,152,59,0
78,1841,1022044.15,Finance,medium,0,2019-03-07,299266.58,7591.71,medium,high,medium,2022-03-07,2022-01-13,306858.29000000004,82,53,0
79,1703,1124313.95,Energy,medium,0,2014-05-29,109009.86,8320.18,high,high,high,2017-05-29,2016-10-19,117330.04000000001,140,222,0
80,1439,977423.68,Manufacturing,medium,1,2017-02-07,77127.51,11901.71,high,high,high,2020-02-07,2017-04-28,89029.22,107,1015,0
81,1629,806578.15,Energy,medium,0,2016-10-24,189518.11,6632.44,medium,high,low,2019-10-24,2017-08-30,196150.55,110,785,1
82,1824,1255431.36,Healthcare,medium,1,2017-04-14,171152.99,8699.73,high,high,high,2020-04-14,2018-05-09,179852.72,105,706,0
83,1709,1176570.83,Food and Beverage,medium,0,2022-10-12,148548.07,14658.62,high,high,high,2025-10-12,2024-06-13,163206.69,38,486,1
84,1624,1211697.14,Energy,low,0,2018-06-07,105311.5,4703.7,high,high,high,2021-06-07,2020-03-04,110015.2,91,460,1
85,1619,1407797.45,Energy,low,0,2021-10-04,507157.08,8002.7,medium,high,high,2024-10-04,2023-11-16,515159.78,50,323,1
86,1686,812592.7,Healthcare,medium,0,2013-11-01,117595.76,8039.27,high,medium,high,2016-11-01,2013-11-25,125635.03,147,1072,1
87,1355,1218042.54,Energy,medium,0,2017-06-05,72279.94,8800.72,medium,medium,low,2020-06-05,2019-07-23,81080.66,103,318,1
88,1537,880810.94,Healthcare,medium,0,2013-10-01,640697.07,8681.32,high,high,high,2016-10-01,2015-04-22,649378.3899999999,148,528,0
89,1369,1173940.39,Finance,medium,0,2010-01-21,168565.06,7244.56,low,high,high,2013-01-21,2010-06-29,175809.62,193,937,0
90,1456,1157481.13,Technology,medium,1,2018-10-09,144796.22,7797.08,high,high,low,2021-10-09,2018-11-28,152593.3,87,1046,1
91,1548,1200559.48,Retail,low,0,2013-03-12,59769.74,7655.44,medium,high,high,2016-03-12,2014-10-28,67425.18,154,501,1
92,1683,1031650.2,Manufacturing,medium,1,2018-10-03,183335.07,5636.92,high,high,high,2021-10-03,2021-01-04,188971.99000000002,87,272,1
93,1883,1031647.58,Retail,medium,1,2016-04-25,77821.43,11550.17,low,high,low,2019-04-25,2018-07-04,89371.59999999999,116,295,1
94,1816,733313.85,Manufacturing,medium,0,2011-02-02,228123.9,13025.54,high,low,high,2014-02-02,2011-05-06,241149.44,180,1003,0
95,1388,852132.64,Energy,low,0,2021-01-04,107930.67,13453.04,medium,low,low,2024-01-04,2022-08-26,121383.70999999999,59,496,0
96,1231,935231.43,Energy,medium,0,2017-10-31,293758.21,7683.29,medium,high,high,2020-10-31,2019-01-24,301441.5,98,646,0
97,1054,984393.97,Healthcare,medium,1,2020-06-16,100849.67,9865.85,medium,high,medium,2023-06-16,2021-07-20,110715.52,66,696,0
98,1901,1227884.51,Retail,medium,0,2019-03-28,120601.58,9369.21,high,high,low,2022-03-28,2019-12-13,129970.79000000001,81,836,0
99,1421,957243.15,Retail,medium,0,2016-12-21,164270.98,5784.17,medium,high,low,2019-12-21,2017-09-19,170055.15000000002,108,823,0
100,1543,1447349.03,Energy,low,0,2019-12-17,117129.45,10059.68,high,medium,high,2022-12-17,2020-08-28,127189.13,72,841,1
101,1617,1221580.32,Retail,low,1,2020-12-28,206930.76,12066.26,high,high,medium,2023-12-28,2021-06-15,218997.02000000002,60,926,1
102,1658,947502.24,Finance,medium,1,2021-03-19,368025.77,8428.53,high,high,high,2024-03-19,2022-04-15,376454.30000000005,57,704,0
103,1309,1018896.89,Finance,medium,0,2011-07-26,183498.2,5973.26,medium,low,high,2014-07-26,2013-10-08,189471.46000000002,174,291,0
104,1710,686738.47,Retail,medium,0,2022-01-04,227270.56,4966.07,medium,high,high,2025-01-04,2022-03-07,232236.63,47,1034,0
105,1563,1036787.34,Retail,high,0,2019-01-22,201207.18,5077.36,medium,high,low,2022-01-22,2019-01-25,206284.53999999998,83,1093,0
106,1708,1066058.78,Technology,low,0,2013-03-14,590696.19,10328.11,low,high,high,2016-03-14,2015-11-26,601024.2999999999,154,109,0
107,1674,761147.81,Healthcare,low,1,2019-09-05,257272.72,5373.09,high,medium,low,2022-09-05,2020-04-30,262645.81,76,858,0
108,1566,1094460.06,Healthcare,medium,0,2020-07-21,242789.17,6035.91,low,high,high,2023-07-21,2022-03-08,248825.08000000002,65,500,1
109,1833,1361839.15,Energy,medium,0,2014-12-10,164174.73,4256.75,medium,high,high,2017-12-10,2017-04-05,168431.48,133,249,1
110,1867,607160.4,Healthcare,medium,0,2019-09-30,178060.35,8372.31,high,high,low,2022-09-30,2021-02-22,186432.66,75,585,0
111,1216,1040773.11,Healthcare,medium,0,2011-11-07,119651.84,9981.22,high,high,high,2014-11-07,2013-10-03,129633.06,171,400,1
112,1504,1084717.55,Retail,medium,0,2014-07-21,165102.11,13138.48,high,high,high,2017-07-21,2016-03-03,178240.59,138,505,0
113,1259,1035877.83,Retail,medium,1,2015-06-26,299002.43,5498.5,medium,high,high,2018-06-26,2016-07-28,304500.93,127,698,0
114,1307,993442.64,Finance,medium,0,2016-09-26,252087.73,12047.29,high,high,high,2019-09-26,2016-12-02,264135.02,111,1028,0
115,1759,1142210.98,Manufacturing,medium,1,2011-02-28,285237.05,9323.79,high,high,high,2014-02-28,2013-04-12,294560.83999999997,179,322,0
116,1747,931750.93,Technology,medium,0,2016-03-25,97720.93,7295.9,high,high,medium,2019-03-25,2017-08-25,105016.82999999999,117,577,0
117,1584,1137541.3,Healthcare,medium,1,2013-07-26,207359.11,5979.57,high,high,low,2016-07-26,2015-09-17,213338.68,150,313,0
118,1669,963111.35,Manufacturing,medium,0,2019-10-31,303072.05,11947.03,low,high,low,2022-10-31,2022-02-15,315019.08,74,258,1
119,1850,1008481.05,Retail,low,1,2018-01-23,300884.56,7335.48,medium,high,high,2021-01-23,2018-04-03,308220.04,95,1026,0
120,1087,1000659.63,Healthcare,medium,1,2022-05-11,197204.72,8038.56,high,low,medium,2025-05-11,2025-04-11,205243.28,43,30,0
121,1342,748524.45,Energy,low,0,2011-02-08,198888.28,10301.76,high,high,medium,2014-02-08,2013-02-26,209190.04,180,347,0
122,1578,953575.22,Finance,medium,0,2015-04-22,209049.42,8923.36,medium,low,high,2018-04-22,2016-05-19,217972.78000000003,129,703,0
123,1320,1065058.65,Finance,medium,0,2017-10-17,191462.47,6055.79,medium,high,high,2020-10-17,2018-08-14,197518.26,98,795,1
124,1352,870660.84,Finance,medium,1,2016-02-04,68316.18,6442.87,high,high,high,2019-02-04,2018-04-04,74759.04999999999,119,306,0
125,1144,904753.07,Food and Beverage,medium,0,2013-09-26,121869.22,8333.68,medium,high,high,2016-09-26,2016-04-26,130202.9,148,153,1
126,1535,1367666.21,Healthcare,high,1,2015-10-08,311766.55,9202.92,high,high,high,2018-10-08,2015-10-13,320969.47,123,1091,0
127,1907,1308489.77,Education,high,0,2011-07-06,237878.15,4853.45,high,high,high,2014-07-06,2013-10-21,242731.6,175,258,0
128,1501,716425.69,Retail,medium,0,2014-02-05,116689.13,6598.97,high,low,medium,2017-02-05,2015-02-27,123288.1,143,709,0
129,1732,778738.45,Retail,medium,0,2013-12-02,185204.44,6540.4,medium,high,medium,2016-12-02,2014-09-15,191744.84,146,809,0
130,990,947322.24,Energy,medium,0,2011-02-14,187840.17,6465.26,high,medium,high,2014-02-14,2012-07-31,194305.43000000002,180,563,0
131,1484,1061699.24,Education,medium,0,2012-10-22,110967.86,9154.75,low,high,high,2015-10-22,2012-11-21,120122.61,159,1065,1
132,1603,689745.82,Retail,low,0,2013-07-26,310789.71,7460.11,high,high,low,2016-07-26,2013-11-19,318249.82,150,980,0
133,1325,953477.48,Education,low,0,2011-04-08,189890.25,6064.99,high,high,low,2014-04-08,2011-10-26,195955.24,178,895,0
134,1234,1409613.04,Education,medium,0,2010-05-27,174291.8,6759.77,high,medium,high,2013-05-27,2010-06-07,181051.56999999998,188,1085,0
135,1132,1035363.61,Technology,medium,0,2014-11-28,101504.27,6989.4,medium,high,high,2017-11-28,2016-05-19,108493.67,134,558,1
136,1522,1090727.5,Retail,medium,0,2022-11-18,135757.6,4767.89,high,high,high,2025-11-18,2023-06-08,140525.49000000002,37,894,1
137,1726,1008398.02,Finance,low,0,2018-08-02,77794.42,5861.78,high,high,high,2021-08-02,2019-10-22,83656.2,89,650,1
138,1397,937834.68,Retail,medium,0,2020-02-28,88534.06,8873.26,medium,high,high,2023-02-28,2021-02-23,97407.31999999999,70,735,0
139,1586,884681.48,Food and Beverage,medium,0,2012-03-15,176637.81,9125.91,high,low,medium,2015-03-15,2013-08-07,185763.72,167,585,1
140,1984,757510.15,Manufacturing,medium,0,2022-04-01,343437.37,6833.09,high,medium,high,2025-04-01,2024-06-25,350270.46,44,280,0
141,1624,886119.1,Education,medium,0,2017-07-20,233602.09,4996.82,medium,high,high,2020-07-20,2020-06-22,238598.91,101,28,0
142,1267,807111.54,Energy,medium,0,2013-02-13,178049.05,9349.35,medium,high,medium,2016-02-13,2013-10-15,187398.4,155,851,0
143,1489,1432045.71,Energy,medium,0,2014-03-18,160424.69,6016.77,high,high,low,2017-03-18,2016-06-23,166441.46,142,268,1
144,1534,1259178.35,Finance,medium,0,2017-12-20,276748.39,10246.94,high,high,high,2020-12-20,2018-10-24,286995.33,96,788,0
145,1185,840231.93,Technology,medium,1,2012-02-14,176235.49,7678.77,high,high,medium,2015-02-14,2013-07-24,183914.25999999998,168,570,0
146,1249,931998.48,Manufacturing,medium,0,2013-08-07,104382.57,7449.99,high,high,low,2016-08-07,2016-04-26,111832.56000000001,150,103,1
147,1338,897686.92,Healthcare,medium,0,2012-07-10,166307.09,9794.04,medium,medium,high,2015-07-10,2012-07-27,176101.13,163,1078,0
148,1369,693375.15,Education,medium,0,2010-07-22,215802.03,9688.24,medium,high,high,2013-07-22,2011-01-10,225490.27,187,924,0
149,1680,1151286.76,Food and Beverage,medium,1,2018-10-30,47789.35,6154.97,high,high,low,2021-10-30,2021-09-23,53944.32,86,37,0
150,1738,740008.28,Education,medium,1,2019-09-25,145778.85,12045.69,medium,high,low,2022-09-25,2019-11-15,157824.54,75,1045,1
151,1059,970990.77,Food and Beverage,high,0,2014-08-04,139122.87,7206.62,medium,high,high,2017-08-04,2015-01-13,146329.49,137,934,1
152,1426,1054984.88,Finance,high,0,2019-12-25,333503.38,12963.72,medium,high,high,2022-12-25,2021-12-23,346467.1,72,367,0
153,1408,1159533.18,Energy,high,0,2013-09-12,104454.71,5148.93,high,high,high,2016-09-12,2015-03-23,109603.64000000001,148,539,0
154,1487,804431.09,Energy,medium,0,2020-10-19,87323.39,4444.87,high,high,low,2023-10-19,2022-01-18,91768.26,62,639,1
155,1786,1191102.77,Energy,medium,0,2010-08-24,65863.69,9486.29,high,high,high,2013-08-24,2010-12-30,75349.98000000001,185,968,1
156,1447,931560.93,Technology,medium,0,2020-09-09,99819.22,7107.57,high,high,high,2023-09-09,2023-08-11,106926.79000000001,63,29,1
157,1537,751378.57,Energy,medium,0,2015-12-10,185089.6,5969.55,medium,high,low,2018-12-10,2018-04-23,191059.15,121,231,0
158,1523,984935.55,Energy,low,0,2022-04-21,399404.02,9543.21,medium,high,low,2025-04-21,2024-07-26,408947.23000000004,44,269,0
159,1904,686604.35,Manufacturing,medium,0,2021-09-08,134313.87,7813.68,medium,high,high,2024-09-08,2022-10-18,142127.55,51,691,1
160,1689,1055165.89,Manufacturing,medium,0,2016-03-03,202010.69,8461.8,medium,high,medium,2019-03-03,2018-04-20,210472.49,118,317,0
161,1712,985800.54,Government,medium,0,2021-12-27,85148.09,4964.97,medium,high,medium,2024-12-27,2024-10-30,90113.06,47,58,0
162,2137,1082520.51,Retail,medium,0,2017-02-10,106224.88,9018.8,high,high,high,2020-02-10,2019-04-19,115243.68000000001,107,297,0
163,1282,739058.05,Technology,medium,0,2016-03-28,102056.18,7179.2,high,high,high,2019-03-28,2017-05-15,109235.37999999999,117,682,1
164,1802,904614.4,Finance,medium,0,2020-03-26,123538.24,8474.03,medium,high,low,2023-03-26,2022-04-07,132012.27000000002,69,353,0
165,1678,1010699.71,Retail,medium,0,2013-02-08,234001.13,7159.02,low,low,high,2016-02-08,2013-06-05,241160.15,156,978,1
166,1256,722981.41,Energy,low,0,2016-05-04,106264.95,5165.92,high,high,high,2019-05-04,2018-05-16,111430.87,116,353,1
167,1905,781990.85,Technology,high,0,2013-10-30,135536.41,5853.6,high,high,high,2016-10-30,2015-08-18,141390.01,147,439,0
168,1951,914964.96,Food and Beverage,high,0,2011-01-06,197982.16,5783.66,high,high,low,2014-01-06,2012-10-29,203765.82,181,434,0
169,1337,955125.36,Finance,low,0,2021-12-07,298834.77,6792.56,high,low,high,2024-12-07,2024-05-07,305627.33,48,214,0
170,1345,1141633.39,Healthcare,medium,0,2016-01-11,256768.06,8229.38,high,high,low,2019-01-11,2017-02-17,264997.44,120,693,0
171,1500,854888.39,Retail,medium,0,2019-03-11,196389.91,5573.15,high,high,high,2022-03-11,2020-11-04,201963.06,81,492,0
172,1989,703129.95,Food and Beverage,low,0,2012-10-26,150374.88,4360.21,medium,medium,high,2015-10-26,2014-05-26,154735.09,159,518,1
173,1679,1171505.4,Technology,medium,0,2010-10-29,130482.47,7952.05,medium,high,high,2013-10-29,2012-11-28,138434.52,183,335,1
174,1259,1048352.7,Energy,medium,0,2018-04-04,78726.13,8040.66,high,high,high,2021-04-04,2019-11-12,86766.79000000001,93,509,1
175,825,773135.54,Technology,medium,0,2019-02-01,141592.5,6418.25,medium,high,high,2022-02-01,2021-07-20,148010.75,83,196,1
176,1586,1152688.18,Technology,medium,0,2016-12-08,94545.36,6778.01,high,low,medium,2019-12-08,2017-06-30,101323.37,109,891,1
177,1620,1090278.23,Technology,medium,0,2022-01-07,261248.3,8002.19,medium,high,high,2025-01-07,2024-01-26,269250.49,47,347,0
178,1116,623039.58,Retail,medium,1,2010-02-19,255924.33,4795.5,high,high,low,2013-02-19,2011-01-25,260719.83,192,756,0
179,1274,810397.39,Healthcare,low,1,2016-07-19,212706.54,5730.44,high,high,high,2019-07-19,2018-07-06,218436.98,114,378,1
180,1522,1149396.93,Energy,low,1,2018-07-17,96068.2,6438.05,medium,high,high,2021-07-17,2020-08-28,102506.25,89,323,0
181,1178,919252.47,Finance,low,0,2020-11-16,129282.08,6700.89,medium,high,high,2023-11-16,2022-05-24,135982.97,61,541,1
182,1723,811714.76,Technology,medium,0,2013-11-11,181193.57,4409.62,medium,high,medium,2016-11-11,2014-10-13,185603.19,146,760,0
183,1554,860339.0,Technology,medium,1,2011-02-25,603421.53,9463.44,high,low,high,2014-02-25,2012-06-18,612884.97,179,617,0
184,831,659510.71,Manufacturing,low,0,2011-03-23,51236.41,12763.84,high,high,high,2014-03-23,2013-10-08,64000.25,178,166,1
185,1618,609627.2,Retail,medium,0,2021-09-13,226551.58,5559.98,low,high,high,2024-09-13,2022-10-07,232111.56,51,707,1
186,1679,1153565.62,Technology,low,0,2022-12-19,628153.85,6482.33,high,high,low,2025-12-19,2023-03-08,634636.1799999999,35,1017,1
187,1652,1087089.97,Food and Beverage,medium,0,2014-01-07,274596.35,10508.82,high,high,high,2017-01-07,2016-05-10,285105.17,144,242,0
188,2095,1009656.36,Finance,medium,0,2019-10-28,317933.6,7782.2,medium,medium,low,2022-10-28,2022-04-19,325715.8,74,192,0
189,1520,1354744.48,Retail,medium,0,2010-11-18,367231.6,5445.58,high,high,low,2013-11-18,2013-09-27,372677.18,183,52,0
190,1260,1242042.11,Finance,low,1,2013-02-19,228337.46,8151.61,medium,low,medium,2016-02-19,2014-10-15,236489.06999999998,155,492,0
191,1558,949614.73,Technology,medium,0,2012-06-11,336310.12,4717.66,high,high,high,2015-06-11,2013-10-21,341027.77999999997,164,598,0
192,1788,932938.48,Finance,low,0,2019-01-24,109089.48,5132.67,medium,high,high,2022-01-24,2019-10-17,114222.15,83,830,1
193,1732,889126.43,Finance,medium,0,2016-10-27,37464.66,10562.75,high,high,low,2019-10-27,2017-03-15,48027.41,110,956,0
194,960,1047783.31,Technology,low,0,2013-01-23,232328.13,13837.02,high,high,high,2016-01-23,2016-01-14,246165.15,156,9,0
195,1314,1297152.64,Finance,medium,0,2017-07-11,247704.6,5565.85,high,high,medium,2020-07-11,2018-06-14,253270.45,102,758,0
196,1566,759005.24,Energy,medium,0,2017-01-10,95667.49,8452.59,medium,high,medium,2020-01-10,2019-02-18,104120.08,108,326,0
197,1645,1279472.46,Retail,low,0,2018-10-25,361012.43,7427.41,high,high,low,2021-10-25,2021-07-14,368439.83999999997,86,103,0
